location,title,short_description,price,square_meters,bedrooms,parking,bathroom,cluster,latitude,longitude
la libertad, vendo casa a reparar en la hacienda.,"ideal para inversion! a la venta solo por dos semanas!!! ubicada en residencial privada, a pocos minutos de surf city. condominio ofrece: casa club, piscina, gimnasio, salon de ...",147500,234.0,3,4,4,0,13.6817661,-89.3606298
colón, casa en villa lourdes colon,"casa de esquina bien ubicada a orilla de calle, área de cochera p/2 vehículos, puerta balcón, ventanas francesas, 2 hab. con area para hacer otra, sala y comedor amplios ...",49900,112.0,2,2,1,0,13.707793,-89.3487791
san salvador," se vende apartamento, torre via aurora",apartamento cerca de la universidad evangelica area: 74.72 mts2 cuenta con : * dos habitaciones con closet y a/a * dos baños * sala-comedor * terraza * área de lavandería * 1 ...,190000,102.67469879518072,2,1,2,0,13.6929403,-89.2181911
mejicanos, vendo casa cerca del constitucion. con tres rentas,"excelente oportunidad. ponga su dinero a trabajar donde nunca se pierde. vendo casa para vivir y tener rentas o solo como negocio. con el debido respeto no intermediarios, solo trato ...",185000,150.0,3,3,1,0,13.7344714,-89.2179286
san salvador, se vende apartamento en escalón estilo moderno,"se vende apartamento en escalón estilo moderno área apartamento: 108.93mts2 área total: 133.93mts2 + 2 parqueos de 12.50mts2 cada uno, haciendo los dos 25mts2 (uno de ellos bajo ...",265000,134.0,3,2,3,0,13.6929403,-89.2181911
ahuachapán, casa de campo en venta en el centro de apaneca,"hermosa casa de campo en el pueblo de apaneca, cuenta con excelente ubicación enfrente al parque, clima agradable. cuenta con amplios jardines y estacionamiento. ideal para ...",750000,400.0,5,8,4,1,13.9259486,-89.84113819999999
san salvador, venta de casa en la cima 4 san salvador,"venta de casa en la cima 4 san salvador venta de casa en la cima 4, de un solo nivel, remodelada y en residencial privado características: - residencial privado - 75 mts2 de ...",120000,102.67469879518072,2,1,2,0,13.6929403,-89.2181911
ahuachapán, venta de casa en ahuachapán residencial haciendas del mediterráneo,venta de casa en ahuachapán residencial haciendas del mediterráneo venta de casa nueva de un nivel en residencial privado con seguridad las 24 horas en la entrada al departamento de ...,35000,102.67469879518072,2,2,1,0,13.9259486,-89.84113819999999
el salvador," casa nueva en riverside park, san miguel",se vende casa recién construida en riverside park san miguel - medidas 10 mts al frente x 35 mts de fondo - sala amplia - cocina-comedor - área de cocina con gabinetes y cocina ...,240000,160.0,3,3,2,0,13.794185,-88.89653
san salvador, se vende apartamento en torre triana 11o nivel,se vende apartamento en torre triana 11o nivel la propiedad cuenta con: - 2 habitaciones - 2 baños completo - cuarto de servicio con baño completo - sala comedor y cocina en un ...,360000,120.0,2,2,2,0,13.6929403,-89.2181911
san salvador, venta de casa en cima iv,¡venta de casa en cima iv! construcción: 75m² colonia: privada características: cuartos: 2 baños: 2 garaje: para 1 carro jardín: incluido cocina: con mueble incluido precio: ...,120000,102.67469879518072,2,1,2,0,13.6929403,-89.2181911
santa tecla, venta casa puerta real santa tecla,"tipo almeria 2 niveles 3 habitaciones: principal walk in closeth, aire acondicionado y baño completo. habitaciones 2 y 3 cada uno con closeth, aire acondicionado y comparten ...",415000,102.67469879518072,3,3,3,0,13.6757837,-89.2894733
ahuachapán, venta de casa en ahuachapán - amplia y a orilla de calle principal,"casa con verja al frente y zona verde, lo que permite tener un espacio seguro para descansar con vista a la calle. terreno amplio, con un área de 242.8m2 ó 346v2 propio para hacer ...",68000,242.0,2,1,1,0,13.9259486,-89.84113819999999
san salvador, se vende casa en colonia flor blanca,"se vende hermosa casa con espacios amplios y acogedores, ubicada en una de las zonas privilegiadas y de alta plusvalía de san salvador, inmediata a importantes centros comerciales, ...",310000,355.0,3,2,2,1,13.6929403,-89.2181911
antiguo cuscatlán," vendo casa de 510 varas en colonia san benito. ideal para inversionistas, oficinas o clinicas","vendo casa de 510 varas de terreno y 325 metros de construccion en la colonia san benito, ideal para clinicas, vivienda, oficinas o inversionistas.",450000,325.0,4,3,4,0,13.6640938,-89.25147179999999
santa ana, lago coatepeque quinta recién remodelada,vendo preciosa quinta en el lago de coatepeque frente al lago recien remodelada 400 metros cuadrados de terreno 572 varas cuadradas de terreno cuenta con -3 habitaciones todas con a/c ...,335000,400.0,3,3,2,1,13.9778279,-89.56391190000001
san salvador, venta de casa en escalon exclusivo 4 habitaciones amplias cada una con su baño,"venta de casa moderna en colonia escalón dentro de condominio privado mallorca muy exclusivo, zona luceiro, de 3 niveles y roof top con vista espectacular al volcán de san salvador ...",375000,300.0,5,3,6,0,13.6929403,-89.2181911
santa ana," vendo casa de 12 metros de frente y 17 metros de fondo en resid. tenerife, ciudad real, santa ana","vendo casa de 12 metros de frente y 17 metros de fondo (290 varas de terreno) en residencial tenerife 4, ciudad real, santa ana. tiene amplio jardin interno, area de servicio, 2 baños, ...",92000,130.0,3,3,2,0,13.9778279,-89.56391190000001
san salvador, vendo apartamento remodelado en la zona alta de colonia escalon. 2 parqueos,"vendo apartamento remodelado en condominio vistas del carmen, en la zona alta de la colonia escalon. tiene 3 habitaciiones con closet y aire acondicionado cada una (la principal con ...",245000,110.0,3,2,3,0,13.6929403,-89.2181911
santa tecla," vendo casa en residencial condado santa rosa, santa tecla, la libertad","vendo casa en residencial condado santa rosa, santa tecla, la libertad. 1 nivel: cochera techada para 2 vehiculos, baño social, sala, comedor, area de cocina con desayunador panti y ...",395000,200.0,3,2,3,0,13.6757837,-89.2894733
san salvador," vendo casa nueva a 2 minutos de la universidad evengelica, cerca de final alamenda juan pablo ii","vendo casa nueva de 300 varas de terreno y 200 metros de construccion a 2 minutos de la universidad evengelica, cerca de final alameda juan pablo ii. tiene cochera para 2 vehiculos, ...",230000,200.0,3,2,4,0,13.6929403,-89.2181911
san salvador, casa de un nivel en venta en colonia san francisco,hermosa casa en venta en colonia san francisco cuenta con: una habitación principal con baño completo y walking closet dos habitaciones con closet y baño completp (una habitación ...,898500,102.67469879518072,5,5,1,0,13.6929403,-89.2181911
la paz, casa de playa en venta en villa oceanica costa del sol,hermosa casa en venta en exclusiva residencial villa oceanica ubicada en km. 71 sobre el boulevard costa del sol. primer nivel: -sala con a/c -comedor -terraza hamaquera -baño ...,475000,266.0,5,8,4,0,13.495364,-88.9796776
san salvador, apartamento en venta en condominio las terrazas,espectacular apartamento en exclusivo condominio las terrazas en el corazón de la colonia san benito cuenta con: 256.71m2 -amplio vestíbulo - espacio flex con baño ...,495000,257.0,2,2,2,0,13.6929403,-89.2181911
